名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
アカチャンホンポ　若葉店,ベビー・マタニティ用品専門店,買物,○,○,×,,2,【おむつ交換+授乳】店内赤ちゃん休憩室/【おむつ交換】女子トイレ,店内の赤ちゃん休憩室で授乳・おむつ交換どちらも行えます。,350-2201,鶴ヶ島市,鶴ヶ島市富士見1-2-1ワカバウォーク内 東棟1F,049-272-5031,049-271-3251,,10:00～21:00,なし,http://www.akachan.jp/CGI/store/top/shop.cgi?shop_cd=071,アカチャンホンポは、「安らぎと楽しさと生きがいのある幸せな暮らしをお届けする」を基本理念とした「ベビー・マタニティ用品専門店」です。豊富な品揃え、お客様の声を活かした商品開発、イベント開催などを通して、マタニティ・育児ライフをトータルでサポートします。
アカチャンホンポ　ララガーデン川口店,ベビー・マタニティ用品専門店,買物,○,○,×,,1,【おむつ交換＋授乳】店内赤ちゃん休憩室,店内の赤ちゃん休憩室で授乳・おむつ交換どちらも行えます。,332-0028,川口市,川口市宮町18-9 ララガーデン川口2F,048-240-3161,048-257-6150,,10:00～20:00,なし,http://www.akachan.jp/CGI/store/top/shop.cgi?shop_cd=108,アカチャンホンポは、「安らぎと楽しさと生きがいのある幸せな暮らしをお届けする」を基本理念とした「ベビー・マタニティ用品専門店」です。豊富な品揃え、お客様の声を活かした商品開発、イベント開催などを通して、マタニティ・育児ライフをトータルでサポートします。
アカチャンホンポ　ららぽーと新三郷店,ベビー・マタニティ用品専門店,買物,○,○,×,,1,【おむつ交換＋授乳】店内赤ちゃん休憩室,店内の赤ちゃん休憩室で授乳・おむつ交換どちらも行えます。,341-0009,三郷市,三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F,048-950-1088,048-959-7106,,10:00～21:00,なし,http://www.akachan.jp/CGI/store/top/shop.cgi?shop_cd=114,アカチャンホンポは、「安らぎと楽しさと生きがいのある幸せな暮らしをお届けする」を基本理念とした「ベビー・マタニティ用品専門店」です。豊富な品揃え、お客様の声を活かした商品開発、イベント開催などを通して、マタニティ・育児ライフをトータルでサポートします。
カメラのキタムラ　川口・芝店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ入り口付近,お手洗いにオムツ交換台があります。,333-0848,川口市,川口市芝下3-19-17,048-262-1006,048-263-5611,,10時00分～20時00分,無休(年末年始を除く),http://kitamura.jp,
カメラのキタムラ　越谷・越谷花田店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ入り口付近,お手洗いにオムツ交換台があります。,343-0015,越谷市,越谷市花田2-29-5,048-965-0533,048-960-1325,,10時00分～20時00分,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　幸手・東店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ個室内部,お手洗いにオムツ交換台があります。,340-0114,幸手市,幸手市東3-9-28,0480-43-1321,0480-40-3385,,10時00分～20時00分,無休(年末年始),http://kitamura.jp,
カメラのキタムラ　越谷・蒲生店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ個室内部,お手洗いにオムツ交換台があります。,343-0835,越谷市,越谷市蒲生西町2-12-3,048-961-6466,048-988-8066,,10時00分～20時00分,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　春日部・ユリノキ通り店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ入り口付近,お手洗いにオムツ交換台があります。,344-0066,春日部市,春日部市豊町5-7-21,048-755-4311,048-755-4312,,10時00分～20時00分,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　加須・加須店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ個室内部,お手洗いにオムツ交換台があります。,347-0061,加須市,加須市諏訪2-2-2,0480-61-7375,0480-63-3105,,10時00分～20時00分,無休(元日、1月2日を除く),http://kirtamura.jp,
カメラのキタムラ　埼玉・坂戸店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ入り口付近,お手洗いにオムツ交換台があります。,350-0223,坂戸市,坂戸市八幡1-18-1,049-282-1004,049-282-2008,,10時00分～20時00分,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　狭山・狭山台店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ入り口付近,お手洗いにオムツ交換台があります。,350-1304,狭山市,狭山市狭山台3-1-1,04-2999-0300,04-2950-0301,,10時00分～20時00分,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　埼玉・狭山富士見店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ個室内部,お手洗いにオムツ交換台があります。,350-1306,狭山市,狭山市富士見2-1-12,04-2956-0335,04-2956-0336,,10時00分～20時00分,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　鶴ヶ島・鶴ヶ島店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ個室内部,お手洗いにオムツ交換台があります。,350-2204,鶴ヶ島市,鶴ヶ島市鶴ヶ丘401-1,049-271-7166,049-271-7167,,10:00～19:00,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　志木・上宗岡店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ個室内部,"お手洗いにオムツ交換台があります。
「スタジオマリオ」の着付け室で授乳ができます。",353-0001,志木市,志木市上宗岡5-6-37,048-486-7631,048-486-7632,,10時00分～20時00分,無休(元日、1月2日を除く),http://kitamura.jp,
カメラのキタムラ　ふじみ野・上福岡店,カメラ用品販売,写真,○,×,×,,1,【おむつ交換】トイレ個室内部,お手洗いにオムツ交換台があります。,356-0041,ふじみ野市,ふじみ野市鶴ケ舞3-7-8,049-267-7481,049-267-7482,,10時00分～19時00分,無休(元日、1月2日を除く),http://kitamura.jp,
