店名,業種,サービス,郵便番号,住所,電話番号
ＶＩＳＯＵＲＩＲＥ,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300071,さいたま市浦和区 上木崎２－５－２ウィステリア浦和３０５,07028219716
クローバー北浦和店,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和１ー２ー１５森ビル2F,0487993375
フェイシャルサロンエレガ,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区 北浦和４丁目１番地１１号岩﨑ビル４０３号室,0488266138
with GRACE,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300075,さいたま市浦和区 針ヶ谷3-2-7To YOU@BILL202,07089833930
焼肉きんぐ 浦和木崎店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300042,さいたま市浦和区木崎２ー１ー２０,0488297525
吉野家   浦和駅東口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町１ー２２,0488164929
鮮彩もつ焼き わか大将,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町１１ー２３Ｙahata   Ｂuilding2,0488265733
旬の味みなと,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町１０ー２,0488850777
キッチンオリジン浦和店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区 東仲町25-1,0487648370
ローストチキンコオロギ浦和店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区 東仲町8丁目3番プレミア浦和1階,0488815077
日本料理   和彩   よね田,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区 東仲町9-5東仲町KUMAビル3階,0488133553
アズーリ   カーサ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町11ー21,0488772772
焼鳥   鳥せい   北浦和店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤９ー１３ー５,0487118028
吉野家   １７号線浦和常盤店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤６ー２ー１５,0488301873
にちにち草,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤６ー４ー４さいたま市本庁舎東側広場市民サロン棟,0486255100
うなぎ処古賀,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤７丁目１番地２０号,0487539986
キッチン   スティックートゥ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤9丁目33番地3号ピサロビル2階,0488344433
越コーヒー店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤9丁目32番28号荘栄第一ビル1階,0488336724
レストランRPR,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和１９F,0488271165
中国料理   彩湖,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和18F,0488271164
日本料理   四季彩,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和５F,0488271162
ペストリーショップ   ラ・モーラ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和１F,0488271161
テラスダイニング   ミケーラ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和１F,0488271160
吉野家   浦和仲町店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー３ー２２,0488352252
浦和三国中華居酒屋,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町１ー１ー１３浦和駅前ビル3階,0486121456
